date,V_max,E_coercive_pos,E_coercive_neg,J_max_pos,J_max_neg,laser_voltage_V,effective_power_W
2025-09-11,3.0,230.05000000000004,-140.05,0.00019256922000000093,0.00022523024000000065,0.0,0.0
2025-09-11,4.0,260.05,-130.05,0.00040169431999999934,0.00025610491399999965,0.0,0.0
2025-09-11,5.0,330.05000000000007,-370.05,0.0005893098599999988,0.0007899675600000003,0.0,0.0
2025-09-11,6.0,440.05,-380.05000000000007,0.001055210519999997,0.001112970159999998,0.0,0.0
2025-09-11,7.0,490.05,-410.05,0.0018088593000000009,0.00142077934,0.0,0.0
2025-09-11,8.0,530.0500000000001,-390.05000000000007,0.0018292115800000019,0.0012455188199999986,0.0,0.0
2025-09-29,3.0,190.05,-220.05000000000004,0.0009484897400000017,0.00045325867999999533,2.5,9.011968868421053e-6
2025-09-29,4.0,220.05000000000004,-250.05,0.001569578099999999,0.0012495774000000053,2.5,9.011968868421053e-6
2025-09-29,5.0,190.05,-280.05000000000007,0.001988282859999997,0.0023404276600000017,2.5,9.011968868421053e-6
2025-09-29,6.0,450.04999999999995,-340.05000000000007,0.003107701359999991,0.0036257727200000034,2.5,9.011968868421053e-6
2025-09-29,7.0,540.05,-440.05,0.005790051360000001,0.0055124497600000065,2.5,9.011968868421053e-6
2025-09-29,8.0,570.05,-470.05,0.0059374530800000175,0.006457342359999996,2.5,9.011968868421053e-6
2025-09-30,3.0,190.05,-190.05,0.0011006133799999996,0.0005887356600000025,5.0,0.00001587566338596491
2025-09-30,4.0,220.05000000000004,-240.05000000000004,0.002035943919999999,0.0017386680799999985,5.0,0.00001587566338596491
2025-09-30,5.0,270.05,-250.05,0.0028610196399999977,0.0027220215199999977,5.0,0.00001587566338596491
2025-09-30,6.0,360.05,-300.05,0.004299720940000003,0.0033957048799999924,5.0,0.00001587566338596491
2025-09-30,7.0,520.05,-400.04999999999995,0.006869701260000005,0.004281254979999986,5.0,0.00001587566338596491
2025-09-30,8.0,540.05,-450.04999999999995,0.007112239219999997,0.0055625898600000015,5.0,0.00001587566338596491
