Date,V_max,Peak_V_poly3,Peak_I_poly3_nA,Peak_V_poly7,Peak_I_poly7_nA
2025-09-11,1.0,-1.0,1.9214244893347028,-0.8005,1.4937196655969742
2025-09-11,2.0,-2.0,16.7077041732008,-1.4005,7.317707558198837
2025-09-11,3.0,-3.0,26.18518915912373,1.8005,9.297831974749215
2025-09-11,4.0,-0.5005,36.6339127418609,2.4005000000000005,22.720666758707516
2025-09-11,5.0,-3.3005000000000004,-47.141943449472414,-4.1005,-37.81879762587591
2025-09-11,6.0,-3.8005000000000004,-63.62379432447183,3.9005000000000005,51.32375656601283
2025-09-11,7.0,4.8005,95.01038611036206,4.7005,89.7883752917796
2025-09-11,8.0,5.1005,101.26300235887307,4.9005,92.2941311946983
2025-09-29,3.0,2.2005000000000003,49.461260753459115,1.9005,48.82466436618911
2025-09-29,4.0,2.6005000000000003,82.61796108104596,2.2005000000000003,82.21173352546785
2025-09-29,5.0,-3.1005000000000003,-133.63407461506262,-2.6005000000000003,-113.43885856304597
2025-09-29,6.0,-3.7005000000000003,-193.4594596963383,-3.1005000000000003,-176.65135063692586
2025-09-29,7.0,4.9005,303.07975064569206,5.4005,282.6780983026593
2025-09-29,8.0,-4.7005,-334.389378872891,-4.5005,-319.457541843106
2025-09-30,3.0,-2.0005,-60.16439944483603,1.9005,54.61738969896328
2025-09-30,4.0,-2.4005000000000005,-113.81876100104105,2.2005000000000003,106.0125935699065
2025-09-30,5.0,-2.9005000000000005,-154.99441146005816,2.7005000000000003,150.0437621040684
2025-09-30,6.0,3.8005000000000004,239.17466045549543,3.3005000000000004,222.7643278074371
2025-09-30,7.0,4.9005,368.6747460441474,4.9005,340.8664043052636
2025-09-30,8.0,5.3005,405.8633451187843,5.4005,351.3346593025902
